{'max_epoch': 15, 'last_iter': 0, 'finetune_lr': 0.0001, 'scratch_lr': 0.001, 'weight_decay': 0.0005, 'momentum': 0.9, 'snapshot': '', 'scale': 416, 'multi-scale': None, 'fp16': False, 'warm_up_epochs': 3, 'seed': 2020}

epochs:1, iter: 76, hinge1_f: 2.0118465, hinge2_f: 1.8569065, hinge3_f: 1.5617235, hinge1: 1.9533955, hinge2: 2.0837755, hinge3: 1.9729615, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 77, hinge1_f: 2.0161295, hinge2_f: 1.8607055, hinge3_f: 1.5615905, hinge1: 1.9535815, hinge2: 2.0825785, hinge3: 1.9710625, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 78, hinge1_f: 2.0129985, hinge2_f: 1.8592095, hinge3_f: 1.5603125, hinge1: 1.9553635, hinge2: 2.0796045, hinge3: 1.9703635, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 79, hinge1_f: 2.0120155, hinge2_f: 1.8576335, hinge3_f: 1.5613135, hinge1: 1.9564755, hinge2: 2.0823985, hinge3: 1.9688185, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 80, hinge1_f: 2.0122725, hinge2_f: 1.8564125, hinge3_f: 1.5610925, hinge1: 1.9574255, hinge2: 2.0814995, hinge3: 1.9659105, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 81, hinge1_f: 2.0123905, hinge2_f: 1.8502175, hinge3_f: 1.5597205, hinge1: 1.9572445, hinge2: 2.0790425, hinge3: 1.9675045, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 82, hinge1_f: 2.0130165, hinge2_f: 1.8522685, hinge3_f: 1.5594485, hinge1: 1.9556045, hinge2: 2.0813675, hinge3: 1.9672925, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 83, hinge1_f: 2.0149575, hinge2_f: 1.8528775, hinge3_f: 1.5591185, hinge1: 1.9540205, hinge2: 2.0815395, hinge3: 1.9709215, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 84, hinge1_f: 2.0136125, hinge2_f: 1.8544595, hinge3_f: 1.5581645, hinge1: 1.9528895, hinge2: 2.0826185, hinge3: 1.9723905, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 85, hinge1_f: 2.0128545, hinge2_f: 1.8517275, hinge3_f: 1.5571165, hinge1: 1.9525385, hinge2: 2.0827905, hinge3: 1.9694665, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 86, hinge1_f: 2.0116645, hinge2_f: 1.8507395, hinge3_f: 1.5565425, hinge1: 1.9548545, hinge2: 2.0850755, hinge3: 1.9690885, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 87, hinge1_f: 2.0111795, hinge2_f: 1.8510525, hinge3_f: 1.5551915, hinge1: 1.9554515, hinge2: 2.0819405, hinge3: 1.9689805, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 88, hinge1_f: 2.0119785, hinge2_f: 1.8485165, hinge3_f: 1.5543115, hinge1: 1.9550045, hinge2: 2.0789135, hinge3: 1.9675915, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 89, hinge1_f: 2.0161735, hinge2_f: 1.8520225, hinge3_f: 1.5555455, hinge1: 1.9529495, hinge2: 2.0801475, hinge3: 1.9685155, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 90, hinge1_f: 2.0175575, hinge2_f: 1.8481055, hinge3_f: 1.5545155, hinge1: 1.9503945, hinge2: 2.0791825, hinge3: 1.9662625, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 91, hinge1_f: 2.0183865, hinge2_f: 1.8483835, hinge3_f: 1.5535965, hinge1: 1.9513035, hinge2: 2.0796665, hinge3: 1.9675475, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 92, hinge1_f: 2.0182165, hinge2_f: 1.8509765, hinge3_f: 1.5544105, hinge1: 1.9519725, hinge2: 2.0781305, hinge3: 1.9630845, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 93, hinge1_f: 2.0182035, hinge2_f: 1.8511575, hinge3_f: 1.5546505, hinge1: 1.9509175, hinge2: 2.0815285, hinge3: 1.9643485, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 94, hinge1_f: 2.0176215, hinge2_f: 1.8566065, hinge3_f: 1.5553905, hinge1: 1.9550995, hinge2: 2.0863825, hinge3: 1.9675535, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 95, hinge1_f: 2.0176105, hinge2_f: 1.8514435, hinge3_f: 1.5549615, hinge1: 1.9530865, hinge2: 2.0826055, hinge3: 1.9624955, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 96, hinge1_f: 2.0185575, hinge2_f: 1.8517665, hinge3_f: 1.5553745, hinge1: 1.9507715, hinge2: 2.0865765, hinge3: 1.9641515, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 97, hinge1_f: 2.0195045, hinge2_f: 1.8503445, hinge3_f: 1.5557245, hinge1: 1.9485735, hinge2: 2.0862415, hinge3: 1.9614355, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 98, hinge1_f: 2.0181495, hinge2_f: 1.8538055, hinge3_f: 1.5559375, hinge1: 1.9519205, hinge2: 2.0862905, hinge3: 1.9613485, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 99, hinge1_f: 2.0170185, hinge2_f: 1.8510715, hinge3_f: 1.5565975, hinge1: 1.9511165, hinge2: 2.0876535, hinge3: 1.9616555, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 100, hinge1_f: 2.0166775, hinge2_f: 1.8505675, hinge3_f: 1.5560865, hinge1: 1.9515045, hinge2: 2.0873135, hinge3: 1.9612365, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 101, hinge1_f: 2.0163235, hinge2_f: 1.8578415, hinge3_f: 1.5590765, hinge1: 1.9511795, hinge2: 2.0874725, hinge3: 1.9618825, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 102, hinge1_f: 2.0156495, hinge2_f: 1.8564875, hinge3_f: 1.5588655, hinge1: 1.9495935, hinge2: 2.0860265, hinge3: 1.9594125, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 103, hinge1_f: 2.0156765, hinge2_f: 1.8546855, hinge3_f: 1.5582695, hinge1: 1.9498995, hinge2: 2.0843855, hinge3: 1.9577515, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 104, hinge1_f: 2.0162535, hinge2_f: 1.8511095, hinge3_f: 1.5565055, hinge1: 1.9488415, hinge2: 2.0841805, hinge3: 1.9570665, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 105, hinge1_f: 2.0165705, hinge2_f: 1.8524645, hinge3_f: 1.5576275, hinge1: 1.9479105, hinge2: 2.0852615, hinge3: 1.9564925, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 106, hinge1_f: 2.0174265, hinge2_f: 1.8511885, hinge3_f: 1.5561025, hinge1: 1.9468375, hinge2: 2.0854345, hinge3: 1.9571085, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 107, hinge1_f: 2.0168985, hinge2_f: 1.8472665, hinge3_f: 1.5552325, hinge1: 1.9460835, hinge2: 2.0841715, hinge3: 1.9564995, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 108, hinge1_f: 2.0157685, hinge2_f: 1.8510845, hinge3_f: 1.5550855, hinge1: 1.9469045, hinge2: 2.0897215, hinge3: 1.9656825, cla: 0.0000005, lr: 0.0000008
